LICENSE NUMBER,LICENSE TYPE,ESTABLISHMENT,STREET ADDRESS,CITY/TOWN,PROVINCE,POSTAL CODE,Location
003165,Eating Establishment,Scotia Lunch Restaurant,64 King ST,Shelburne,NS,B0T 1W0,"Shelburne, NS B0T 1W0
(43.750899, -65.340659)"
005208,Eating Establishment,West Side Charlies ,9137 Commercial ST,New Minas,NS,B4N 3E6,"New Minas, NS B4N 3E6
(45.068964, -64.453441)"
004231,Eating Establishment,Whistler's Pub & Grub Dining Room,285 George  ST,Stewiacke,NS,B0N 2J0,"Stewiacke, NS B0N 2J0
(45.103912, -63.412696)"
004838,Eating Establishment,"Smitty's Restaurant, Lacewood Dr",362 Lacewood DR,Halifax,NS,B3S 1M7,"Halifax, NS B3S 1M7
(44.658902, -63.668831)"
004122,Eating Establishment,Reilly's Restaurant,313 Prince Albert RD,Dartmouth,NS,B2Y 1N3,"Dartmouth, NS B2Y 1N3
(44.679288, -63.550994)"
001077,Club,Halifax Curling Club,948 South Bland ST,Halifax,NS,B3H 2S5,"Halifax, NS B3H 2S5
(44.633857, -63.571768)"
004544,Eating Establishment,Mainstreet Cafe Dining Room,158 Main ST,Antigonish,NS,B2G 2B7,"Antigonish, NS B2G 2B7
(45.623816, -61.985942)"
004954,Club,Pictou Yacht Club,2 Harbour DR,Pictou,NS,B0K 1H0,"Pictou, NS B0K 1H0
(45.680541, -62.719343)"
004279,Club,Deep Brook Waldec Lions Club,948 Highway #1 ,Deep Brook,NS,B0S 1J0,"Deep Brook, NS B0S 1J0
(44.636268, -65.655714)"
001098,Club,Rocky Bay Irish Club,751 Rocky Bay RD,D'Escousse,NS,B0E 1K0,"D'Escousse, NS B0E 1K0
(45.570798, -60.980898)"
004125,Eating Establishment,Porter's Lake Family Eatery & Pub ,5228 Highway #7 ,Porters Lake,NS,B3E 1J8,"Porters Lake, NS B3E 1J8
(44.744238, -63.282853)"
002309,Eating Establishment,New Wing Wah Restaurant,347 Herring Cove RD,Halifax,NS,B3R 1V5,"Halifax, NS B3R 1V5
(44.614019, -63.616549)"
005004,Eating Establishment,Spitfire Arms Alehouse ,29 Water ST,Windsor,NS,B0N 2T0,"Windsor, NS B0N 2T0
(44.974763, -64.131268)"
002792,Eating Establishment,River Oaks Golf Club Dining Room,3909 Hwy #357 ,Meaghers Grant,NS,B0N 1V0,"Meaghers Grant, NS B0N 1V0
(44.922756, -63.232688)"
004715,Eating Establishment,Pizza Delight (Bayers Lake),209 Chain Lake DR,Halifax,NS,B3S 1C9,"Halifax, NS B3S 1C9
(44.650134, -63.675523)"
003752,Eating Establishment,Oasis Pub and Eatery Dining Room,5675 Spring Garden  RD,Halifax,NS,B3J 1H6,"Halifax, NS B3J 1H6
(44.642498, -63.578937)"
003221,Club,Ring 73 Amateur Boxing Club,85 East AV,Glace Bay,NS,B1A 5X2,"Glace Bay, NS B1A 5X2
(46.199553, -59.985926)"
001320,Club,"RCL Br. 67, Weymouth",24 Back ST,Weymouth,NS,B0W 3T0,"Weymouth, NS B0W 3T0
(44.391807, -65.959521)"
004971,Eating Establishment,Sam's Seafood & Grill Dining Room,10 Gordon AV,Dartmouth,NS,B2W 4S8,"Dartmouth, NS B2W 4S8
(44.681516, -63.540794)"
005351,Eating Establishment,Tom's Family Restaurant,585 Sackville DR,Lr. Sackville,NS,B4C 2C4,"Lr. Sackville, NS B4C 2C4
(44.784456, -63.680039)"
001304,Club,Northside East Bay Volunteer Fire Department,310 Eskasoni RD,Northside East Bay,NS,B1J 1K8,"Northside East Bay, NS B1J 1K8
(46.028924, -60.373057)"
003101,Eating Establishment,White Gull Restaurant,58 Water  ST,Lockeport,NS,B0T 1L0,"Lockeport, NS B0T 1L0
(43.709278, -65.125375)"
002841,Club,Schooner Curling Club,61 Military RD,Sydney,NS,B1N 3K6,"Sydney, NS B1N 3K6
(46.172665, -60.161955)"
001567,Club,"RCL Br. 151, Howie Centre (East Bay)",2317 King's RD,Sydney,NS,B1L 1C1,"Sydney, NS B1L 1C1
(46.068959, -60.282468)"
001430,Club,Sergeants Mess Association,551 Main ST,Glace Bay,NS,B1A 4X5,"Glace Bay, NS B1A 4X5
(46.197296, -59.952333)"
004727,Eating Establishment,King Town Chinese Restaurant,225 Cobequid RD,Lower Sackville,NS,B4C 3J7,"Lower Sackville, NS B4C 3J7
(44.759829, -63.65972)"
002926,Eating Establishment,Bearly's Dining Room,1269 Barrington ST,Halifax,NS,B3J 1Y2,"Halifax, NS B3J 1Y2
(44.641029, -63.570791)"
002984,Eating Establishment,Sunset Dining Room,411 Conway HY,Digby,NS,B0V 1A0,"Digby, NS B0V 1A0
(44.608711, -65.781904)"
001455,Club,Hub Athletic Club,50 East AV,Glace Bay,NS,B1A 5V4,"Glace Bay, NS B1A 5V4
(46.203712, -59.956112)"
001820,Club,"RCL Br. 27, Halifax (Vimy)",6160 Almon ST,Halifax,NS,B3K 1V1,"Halifax, NS B3K 1V1
(44.655331, -63.60125)"
001319,Club,"RCL Br. 74, Wolfville",310 Main ST,Wolfville,NS,B4P 1C4,"Wolfville, NS B4P 1C4
(45.091718, -64.360418)"
005311,Eating Establishment,Hebel's Restaurant,71 Stellarton RD,New Glasgow,NS,B2H 1L7,"New Glasgow, NS B2H 1L7
(45.588953, -62.650813)"
004033,Eating Establishment,Primal Kitchen,1463 Brenton ST,Halifax,NS,B3J 3S7,"Halifax, NS B3J 3S7
(44.642219, -63.578443)"
005007,Club,Judique Community Centre,5473 Route 19 ,Judique,NS,B0E 1P0,"Judique, NS B0E 1P0
(45.899591, -61.485883)"
005159,Eating Establishment,French Club 2004 Grill,425 Eighth ST,New Waterford,NS,B1H 3S6,"New Waterford, NS B1H 3S6
(46.250906, -60.084766)"
001556,Club,Pictou Club,58 Front ST,Pictou,NS,B0K 1H0,"Pictou, NS B0K 1H0
(45.680541, -62.719343)"
005902,Club,Bridgetown Volunteer Fire Department,31 Bay RD,Bridgetown,NS,,"Bridgetown, NS
(44.841434, -65.289848)"
005062,Eating Establishment,Island Sunset Resort & Spa ,19 Beach Cove ,Belle Cote,NS,B0E 2B0,"Belle Cote, NS B0E 2B0
(46.432479, -61.106465)"
005288,Eating Establishment,King Fortune Restaurant,1060 Kings RD,Sydney,NS,B1S 1C7,"Sydney, NS B1S 1C7
(46.112045, -60.218365)"
004322,Eating Establishment,Frank and Gino's Restaurant,286 Robie ST,Truro,NS,B2N 1K8,"Truro, NS B2N 1K8
(45.369024, -63.304306)"
003738,Eating Establishment,Ziggy's Pub and Grill,1167 Kings RD,Sydney River,NS,B1S 3B3,"Sydney River, NS B1S 3B3
(46.110512, -60.221133)"
001049,Club,Brightwood Golf & Country Club,227 School ST,Dartmouth,NS,B3A 2Y5,"Dartmouth, NS B3A 2Y5
(44.674425, -63.573003)"
000985,Eating Establishment,"Wong's Restaurant, Baddeck",480 Chebucto ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
005154,Eating Establishment,Woodside Dining Room,209 Pleasant ST,Dartmouth,NS,B2Y 3R5,"Dartmouth, NS B2Y 3R5
(44.658217, -63.550756)"
003178,Eating Establishment,Seawind Landing Country Inn,159 Wharf RD,Charlos Cove,NS,B0H 1T0,"Charlos Cove, NS B0H 1T0
(45.230619, -61.331279)"
001002,Club,"RCL Br. 164, Eastern Passage",1341 Main RD,Eastern Passage,NS,B3G 1M4,"Eastern Passage, NS B3G 1M4
(44.622156, -63.504554)"
003847,Eating Establishment,Big Leagues Dining Room,920 Cole Harbour RD,Dartmouth,NS,B2V 2J5,"Dartmouth, NS B2V 2J5
(44.671058, -63.499361)"
003463,Eating Establishment,Yellow Cello Cafe,525 Chebucto ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
001623,Club,Purcell's Cove Social Club,505 Purcell's Cove RD,Halifax,NS,B3P 2G2,"Halifax, NS B3P 2G2
(44.611447, -63.57292)"
001014,Club,"RCL Br. 162, Sackville",45 Sackville Cross  RD,Lower Sackville,NS,B4C 3G4,"Lower Sackville, NS B4C 3G4
(44.764332, -63.657908)"
004019,Eating Establishment,Canal Family Restaurant,245 Waverley RD,Dartmouth,NS,B2X 2C5,"Dartmouth, NS B2X 2C5
(44.697001, -63.547592)"
000878,Eating Establishment,Lakes Cafe,4932 Cabot Trail  ,North East Margaree,NS,B0E 2H0,"North East Margaree, NS B0E 2H0
(46.326311, -61.008786)"
001085,Club,Truro Lions Club,1100 Prince  ST,Truro,NS,B2N 1J1,"Truro, NS B2N 1J1
(45.364501, -63.26635)"
005408,Eating Establishment,Blue Olive Greek Taverna,6196 Quinpool RD,Halifax,NS,B3L 1A3,"Halifax, NS B3L 1A3
(44.645669, -63.595739)"
000986,Eating Establishment,Yap's Place Restaurant,RR #1  ,River John,NS,B0K 1N0,"River John, NS B0K 1N0
(45.749273, -63.054798)"
004660,Eating Establishment,Harbourville Restaurant,3281 Long Point RD,Harbourville,NS,B0P 1E0,"Harbourville, NS B0P 1E0
(45.054682, -64.748833)"
002854,Club,Sackville Kinsmen Club,71 First Lake DR,Lower Sackville,NS,B4C 1T7,"Lower Sackville, NS B4C 1T7
(44.766135, -63.665783)"
003357,Eating Establishment,Thistle Dining Room,610 East River  RD,New Glasgow,NS,B2H 3S2,"New Glasgow, NS B2H 3S2
(45.578747, -62.642815)"
004746,Eating Establishment,Epicurious Morsels,5529 Young ST,Halifax,NS,B3K 1Z7,"Halifax, NS B3K 1Z7
(44.662383, -63.598733)"
004720,Eating Establishment,Wharf Wraps Restaurant,104 Government Wharf RD,Eastern Passage,NS,B3G 1M7,"Eastern Passage, NS B3G 1M7
(44.621493, -63.503936)"
003767,Eating Establishment,Grand Banker Bar and Grill,82 Montague ST,Lunenburg,NS,B0J 2C0,"Lunenburg, NS B0J 2C0
(44.377523, -64.315648)"
002310,Club,Caledonia Athletic Club,20 Pitt ST,Glace Bay,NS,B1A 2B7,"Glace Bay, NS B1A 2B7
(46.185791, -59.959214)"
004678,Eating Establishment,Dooly's Dining Room (Lr. Sackville),776 Sackville DR,Lr. Sackville,NS,B4E 1R7,"Lr. Sackville, NS B4E 1R7
(44.77285, -63.692215)"
004313,Eating Establishment,The Arms,1515 South Park ST,Halifax,NS,B3J 2L2,"Halifax, NS B3J 2L2
(44.642764, -63.579896)"
004763,Eating Establishment,"Bitter End Dining Room, The",1572 Argyle ST,Halifax,NS,B3J 2B3,"Halifax, NS B3J 2B3
(44.64593, -63.574179)"
002967,Eating Establishment,Mug & Anchor Dining Room,643 South Main ST,Mahone Bay,NS,B0J 2E0,"Mahone Bay, NS B0J 2E0
(44.499319, -64.471872)"
002619,Eating Establishment,Glenora Distillery Restaurant,13727 Route 19 ,Glenville,NS,B0E 1X0,"Glenville, NS B0E 1X0
(46.077579, -61.39362)"
006262,Club,Beaver Bank Kinsac Lions Club,40 Sandy Lake RD,Beaver Bank,NS,B4G 1E4,"Beaver Bank, NS B4G 1E4
(44.875617, -63.695679)"
005267,Club,Spryfield Lions Club,25 Drysdale RD,Halifax,NS,B3R 1L5,"Halifax, NS B3R 1L5
(44.607688, -63.611581)"
001451,Club,Paragon Golf & Country Club,380 Brookside  DR,West Kingston,NS,B0P 1R0,"West Kingston, NS B0P 1R0
(44.981256, -64.944938)"
001722,Club,"RCL Br. 62, Louisbourg",7569 Main ST,Louisbourg,NS,B1C 1J9,"Louisbourg, NS B1C 1J9
(45.918701, -59.976847)"
002331,Club,Capital Sports Club,6300 Lady Hammond  RD,Halifax,NS,B3K 2R6,"Halifax, NS B3K 2R6
(44.66522, -63.612788)"
002873,Eating Establishment,Lion's Head Dining Room,3081 Robie ST,Halifax,NS,B3K 4P7,"Halifax, NS B3K 4P7
(44.659563, -63.602092)"
005184,Eating Establishment,Deb's Hidden Cafe,4149 Scotsburn RD,Pictou,NS,B0K 1R0,"Pictou, NS B0K 1R0
(45.656248, -62.869258)"
000991,Club,"RCL Br. 33, Bridgetown",20 Jeffery ST,Bridgetown,NS,B0S 1C0,"Bridgetown, NS B0S 1C0
(44.834214, -65.303069)"
003611,Eating Establishment,Waterfront Warehouse Restaurant,1549 Lower Water ST,Halifax,NS,B3J 1S2,"Halifax, NS B3J 1S2
(44.645548, -63.570688)"
003547,Eating Establishment,East of Grafton ,1580 Argyle  ST,Halifax,NS,B3J 2B3,"Halifax, NS B3J 2B3
(44.64593, -63.574179)"
005230,Eating Establishment,Boston Pizza Dining Room (Sydney),325 Prince ST,Sydney,NS,B1P 5K6,"Sydney, NS B1P 5K6
(46.139451, -60.185155)"
001166,Club,"RCL Br. 45, Parrsboro",56 Moore ST,Parrsboro,NS,B0M 1S0,"Parrsboro, NS B0M 1S0
(45.467124, -64.359312)"
000998,Club,"RCL Br. 160, Dartmouth (Centennial)",703 Main ST,Dartmouth,NS,B2W 3T6,"Dartmouth, NS B2W 3T6
(44.69639, -63.495721)"
004744,Eating Establishment,Chanterelle Inn,RR #4  ,North River Bridge,NS,B0E 1B0,"North River Bridge, NS B0E 1B0
(46.135073, -60.88087)"
004726,Eating Establishment,Surfside Inn Dining Room,9609 St. Margaret's Bay RD,Queensland,NS,B0J 1T0,"Queensland, NS B0J 1T0
(44.50715, -64.058147)"
001475,Club,"RCL Br. 150, Arichat",1219 Veteran's Memorial DR,Arichat,NS,B0E 1A0,"Arichat, NS B0E 1A0
(45.51442, -61.006232)"
000962,Eating Establishment,Silver Dragon Restaurant,2827 Robie ST,Halifax,NS,B3K 4P3,"Halifax, NS B3K 4P3
(44.657366, -63.598873)"
004695,Eating Establishment,Don Cherry's Sports Grill EE,45 Keltic  DR,Sydney,NS,,"Sydney, NS
(46.150002, -60.166599)"
001252,Eating Establishment,King's Palace Dining Room,6140 Quinpool  RD,Halifax,NS,B3L 1A3,"Halifax, NS B3L 1A3
(44.645669, -63.595739)"
002566,Eating Establishment,Braeside Inn,126 Front ST,Pictou,NS,B0K 1H0,"Pictou, NS B0K 1H0
(45.680541, -62.719343)"
002419,Eating Establishment,Foggy Goggle Bar & Grill,2057 Gottingen  ST,Halifax,NS,B3K 3B1,"Halifax, NS B3K 3B1
(44.650544, -63.581189)"
001728,Eating Establishment,Canton Restaurant,294 Commercial ST,North Sydney,NS,B2A 1C1,"North Sydney, NS B2A 1C1
(46.209277, -60.24847)"
000836,Eating Establishment,Dragon Bowl Restaurant,240 Westville RD,New Glasgow,NS,B2H 5J1,"New Glasgow, NS B2H 5J1
(45.577224, -62.657656)"
004250,Eating Establishment,China Village Restaurant,1065 Central AV,Greenwood,NS,B0P 1N0,"Greenwood, NS B0P 1N0
(44.969714, -64.929412)"
004035,Eating Establishment,Dooly's Dining Room (Yarmouth),117 Water ST,Yarmouth,NS,B5A 4K3,"Yarmouth, NS B5A 4K3
(43.833228, -66.096007)"
001471,Club,"RCL Br. 46, Canso",1131 Union ST,Canso,NS,B0H 1H0,"Canso, NS B0H 1H0
(45.334537, -61.002129)"
001030,Club,"RCL Br. 12, Sydney",101 Dorchester ST,Sydney,NS,B1P 5Z2,"Sydney, NS B1P 5Z2
(46.141116, -60.195411)"
002091,Eating Establishment,Fitzgerald's Restaurant,785 Highway 105 ,Boularderie,NS,B1Y 1J6,"Boularderie, NS B1Y 1J6
(46.263645, -60.257521)"
002137,Club,"RCL Br. 166, Noel",8706 Highway 354 ,Noel,NS,B0N 1P0,"Noel, NS B0N 1P0
(45.177896, -63.721297)"
005051,Eating Establishment,Duke's Place Pub & Grill,1 Pitt ST,Sydney Mines,NS,B1V 2R7,"Sydney Mines, NS B1V 2R7
(46.24131, -60.215383)"
003951,Club,Harbour Hill Community Hall,1979 Comeau's Hill RD,Arcadia,NS,B0W 1B0,"Arcadia, NS B0W 1B0
(43.776056, -66.033144)"
001578,Eating Establishment,Amherst Shore Country Inn,5091 Route 366  ,Lorneville,NS,B4H 3X9,"Lorneville, NS B4H 3X9
(45.927742, -64.078718)"
001932,Club,Clare Golf & Country Club,423 P.F. Comeau RD,Comeauville,NS,B0W 1M0,"Comeauville, NS B0W 1M0
(44.309954, -66.078389)"
004810,Eating Establishment,Union Street Cafe,183 Commercial ST,Berwick,NS,B0P 1E0,"Berwick, NS B0P 1E0
(45.054682, -64.748833)"
005297,Eating Establishment,Clucking Hen Cafe,45073 Cabot Trail ,North Shore,NS,B0C 1H0,"North Shore, NS B0C 1H0
(46.281079, -60.540453)"
001366,Eating Establishment,Revana Pizza Truro,281 Pictou  RD,Bible Hill,NS,B2N 2S7,"Bible Hill, NS B2N 2S7
(45.378754, -63.248791)"
000841,Eating Establishment,Esquire Restaurant,772 Bedford Highway ,Bedford,NS,B4A 1A2,"Bedford, NS B4A 1A2
(44.707682, -63.665656)"
001034,Club,"RCL Br. 66, West Pubnico",668 rte 335 ,West Pubnico,NS,B0W 3S0,"West Pubnico, NS B0W 3S0
(43.672782, -65.798129)"
002517,Club,Chedabucto Curling Club,6 Reddy Hill ,Boylston,NS,B0H 1G0,"Boylston, NS B0H 1G0
(45.439827, -61.487436)"
003631,Eating Establishment,Swiss Chalet Chicken & Ribs (Truro),79  Robie ST,Truro,NS,B2N 1K8,"Truro, NS B2N 1K8
(45.369024, -63.304306)"
005023,Eating Establishment,KAO Family Restaurant,8986 Commercial ST,New Minas,NS,B4N 3E2,"New Minas, NS B4N 3E2
(45.067912, -64.459656)"
002756,Eating Establishment,Sandbar Dining Room,117 Mitchell AV,Dominion,NS,B1G 1M3,"Dominion, NS B1G 1M3
(46.212328, -60.02683)"
004213,Eating Establishment,Old Black Forest Cafe & Gasthof D.R.,10117 Highway #3 ,Martin's Brook,NS,B0J 2C0,"Martin's Brook, NS B0J 2C0
(44.377523, -64.315648)"
003012,Eating Establishment,Admiral Dining Room,148 Main ST,Port Hood,NS,B0E 2W0,"Port Hood, NS B0E 2W0
(46.013872, -61.513992)"
003408,Eating Establishment,Sunrise Motel & Cafe,283 Highway #2 ,Brookfield,NS,B0N 1C0,"Brookfield, NS B0N 1C0
(45.262687, -63.276828)"
003560,Eating Establishment,Ryan Duffy's Steak & Seafood,1650 Bedford Row ,Halifax,NS,B3J 1T2,"Halifax, NS B3J 1T2
(44.646812, -63.57167)"
002893,Eating Establishment,Sidetrack Dining Room,167 Commercial ST,Berwick,NS,B0P 1E0,"Berwick, NS B0P 1E0
(45.054682, -64.748833)"
004871,Eating Establishment,Mabou River Inn Dining Room,19 Southwest Ridge RD,Mabou,NS,B0E 1X0,"Mabou, NS B0E 1X0
(46.077579, -61.39362)"
002500,Club,Tangier & Area Volunteer Fire Dept.,17559 #7 Highway ,Tangier,NS,B0J 3H0,"Tangier, NS B0J 3H0
(44.784876, -63.021099)"
001009,Club,"RCL Br. 6, Kentville",37 River ST,Kentville,NS,B4N 1G8,"Kentville, NS B4N 1G8
(45.079737, -64.498071)"
000949,Eating Establishment,Pizza Delight (Antigonish),348 Main ST,Antigonish,NS,B2G 2C5,"Antigonish, NS B2G 2C5
(45.622538, -61.990733)"
001081,Club,Le Club des Audacieux de Quinan,7036 Highway 308  ,Tusket,NS,B0W 3M0,"Tusket, NS B0W 3M0
(43.855421, -65.967885)"
003150,Eating Establishment,Darrell's Restaurant & Sports Cafe,5576 Fenwick ST,Halifax,NS,B3H 1P8,"Halifax, NS B3H 1P8
(44.637575, -63.575117)"
003585,Eating Establishment,Hamachi Kita Sushi & Asian Flare,5537 Young ST,Halifax,NS,B3K 1Z7,"Halifax, NS B3K 1Z7
(44.662383, -63.598733)"
001090,Club,Mic Mac Amateur Aquatic Club,192 Prince Albert RD,Dartmouth,NS,B2Y 3Z5,"Dartmouth, NS B2Y 3Z5
(44.693516, -63.602965)"
001931,Club,Antigonish Golf and Country Club,76 Golf Course RD,Antigonish,NS,B2G 2L7,"Antigonish, NS B2G 2L7
(45.627111, -61.976003)"
005021,Eating Establishment,Red Stag Tavern ,1496 Lower Water ST,Halifax,NS,B3J 1R9,"Halifax, NS B3J 1R9
(44.649651, -63.573841)"
004016,Eating Establishment,Pilot's Pub Dining Room,10 Atlantic ST,Dartmouth,NS,B2Y 3S5,"Dartmouth, NS B2Y 3S5
(44.6491, -63.545808)"
004815,Eating Establishment,Swiss Chalet Restaurant,358 Lacewood DR,Halifax,NS,B3M 2P2,"Halifax, NS B3M 2P2
(44.664122, -63.646715)"
003917,Eating Establishment,Halliburton House Inn Dining Room,5184 Morris ST,Halifax,NS,B3J 1B3,"Halifax, NS B3J 1B3
(44.641991, -63.570289)"
